Category,Food Name,Calorie (kcal),Carbs (g),Protein (g),Fat (g),Water (g),Ash (g)
水果類,"白柚",37.4132,9.6199,0.5755,0.1013,89.4085,0.2948
水果類,"西施蜜柚",40.3168,10.0916,0.803,0.154,88.603,0.3484
水果類,"甜橙平均值(普遍系)",45.5985,11.3479,0.7908,0.2496,87.229,0.3827
水果類,"柳橙",43.5126,11.0363,0.799,0.1311,87.6314,0.4022
水果類,"香吉士(進口)",47.2362,11.3663,0.6845,0.48,87.05,0.4192
水果類,"澳洲甜橙(進口)",46.0467,11.6411,0.889,0.1376,87.0055,0.3268
水果類,"青皮葡萄柚",33.1124,8.2991,0.751,0.0851,90.602,0.2628
水果類,"紅寶石葡萄柚(古坑)",36.8728,8.9274,0.702,0.2838,89.859,0.2278
水果類,"黃皮葡萄柚(進口)",37.8268,9.6569,0.717,0.078,89.308,0.2401
水果類,"黃皮葡萄柚",37.2039,9.1955,0.668,0.2217,89.6305,0.2843
水果類,"檸檬",33.3043,7.35,0.708,0.5335,91.024,0.3845
水果類,"萊姆",37.6843,7.6738,0.521,0.9926,90.537,0.2756
水果類,"檸檬汁平均值",30.6394,7.0459,0.45,0.4495,91.7403,0.3144
水果類,"檸檬汁(黃皮)",29.8739,7.1598,0.478,0.2978,91.703,0.3614
水果類,"檸檬汁(綠皮)",31.4048,6.9319,0.422,0.6012,91.7775,0.2674
水果類,"萊姆汁",34.1966,8.0535,0.3125,0.4963,90.8985,0.2392
水果類,"紅甘蔗汁",76.1557,20.235,0.505,0.1927,78.818,0.2493
水果類,"紅甘蔗汁(有機,2023年取樣)",71.9862,18.8488,0.203,0.412,80.11,0.4262
水果類,"人心果",82.512,20.5,0.6,0.8,77.5,0.6
水果類,"可可椰子汁平均值",17.4086,4.4142,0.1405,0.1249,94.7715,0.5489
水果類,"可可椰子汁(屏東)",15.9585,3.8146,0.101,0.2254,95.36,0.499
水果類,"可可椰子汁(進口)",18.8587,5.0138,0.18,0.0244,94.183,0.5988
水果類,"蛋黃果",105.6234,27.2831,1.405,0.3206,70.3455,0.6458
水果類,"無花果",66.9899,16.5482,1.16,0.4204,81.267,0.6044
水果類,"無花果乾",328.0326,77.8,3.56,4.3,11.45,2.89
